Event_id,Ad_id,User_id,Date,Time,Time_of_day,Event_type,Campaign_id,Ad_platform,Ad_type,Target_gender,Target_age_group,Target_interests,campaign_id,campaign_name,start_date,end_date,total_budget,user_gender,user_age,country,location,user_interests
29650,180,a2474,29-07-2025,00:29:46,Night,Impression,47,Instagram,Image,Male,18-24,Sports,47,Campaign_47_Launch,17-06-2025,03-09-2025,69493.36,Female,24,United Kingdom,New Mariomouth,Fitness
32098,32,a2474,01-07-2025,03:31:42,Night,Impression,29,Instagram,Stories,All,18-24,Sports,29,Campaign_29_Winter,16-07-2025,06-10-2025,19773.66,Female,24,United Kingdom,New Mariomouth,Health
32098,32,a2474,01-07-2025,03:31:42,Night,Impression,29,Instagram,Stories,All,18-24,Sports,29,Campaign_29_Winter,16-07-2025,06-10-2025,19773.66,Female,24,United Kingdom,New Mariomouth,Fitness
35216,123,a2474,12-07-2025,12:41:47,Afternoon,Impression,33,Facebook,Carousel,All,18-24,Finance,33,Campaign_33_Summer,08-04-2025,04-07-2025,59264.68,Female,24,United Kingdom,New Mariomouth,Health
35216,123,a2474,12-07-2025,12:41:47,Afternoon,Impression,33,Facebook,Carousel,All,18-24,Sports,33,Campaign_33_Summer,08-04-2025,04-07-2025,59264.68,Female,24,United Kingdom,New Mariomouth,Health
35216,123,a2474,12-07-2025,12:41:47,Afternoon,Impression,33,Facebook,Carousel,All,18-24,Finance,33,Campaign_33_Summer,08-04-2025,04-07-2025,59264.68,Female,24,United Kingdom,New Mariomouth,Fitness
35216,123,a2474,12-07-2025,12:41:47,Afternoon,Impression,33,Facebook,Carousel,All,18-24,Sports,33,Campaign_33_Summer,08-04-2025,04-07-2025,59264.68,Female,24,United Kingdom,New Mariomouth,Fitness
43294,55,a2474,24-06-2025,02:16:19,Night,Like,39,Instagram,Carousel,Male,35-44,Gaming,39,Campaign_39_Q3,18-05-2025,27-07-2025,55638.18,Female,24,United Kingdom,New Mariomouth,Health
43294,55,a2474,24-06-2025,02:16:19,Night,Like,39,Instagram,Carousel,Male,35-44,Gaming,39,Campaign_39_Q3,18-05-2025,27-07-2025,55638.18,Female,24,United Kingdom,New Mariomouth,Fitness
45584,137,a2474,21-06-2025,11:05:57,Morning,Impression,7,Facebook,Image,Female,All,Health,7,Campaign_7_Winter,25-05-2025,05-08-2025,43744.59,Female,24,United Kingdom,New Mariomouth,Health
45584,137,a2474,21-06-2025,11:05:57,Morning,Impression,7,Facebook,Image,Female,All,Health,7,Campaign_7_Winter,25-05-2025,05-08-2025,43744.59,Female,24,United Kingdom,New Mariomouth,Fitness
4285,21,63640,21-05-2025,08:11:14,Morning,Click,22,Instagram,Video,All,25-34,Art,22,Campaign_22_Q3,17-03-2025,22-04-2025,35743.4,Other,34,Germany,Joshuamouth,Finance
5397,58,dbbfb,27-07-2025,02:09:52,Night,Impression,39,Facebook,Image,Male,18-24,Travel,39,Campaign_39_Q3,18-05-2025,27-07-2025,55638.18,Female,22,United States,Rodriguezfort,Technology
5397,58,dbbfb,27-07-2025,02:09:52,Night,Impression,39,Facebook,Image,Male,18-24,Health,39,Campaign_39_Q3,18-05-2025,27-07-2025,55638.18,Female,22,United States,Rodriguezfort,Technology
6170,62,4d21a,25-05-2025,12:37:29,Afternoon,Impression,20,Facebook,Image,Male,All,Fashion,20,Campaign_20_Winter,17-02-2025,18-05-2025,98904.66,Female,48,Mexico,Port Hollyside,Art
6170,62,4d21a,25-05-2025,12:37:29,Afternoon,Impression,20,Facebook,Image,Male,All,Lifestyle,20,Campaign_20_Winter,17-02-2025,18-05-2025,98904.66,Female,48,Mexico,Port Hollyside,Art
19755,53,50593,09-07-2025,08:51:35,Morning,Impression,13,Facebook,Stories,Female,25-34,Sports,13,Campaign_13_Winter,19-04-2025,01-07-2025,21855.42,Male,30,Mexico,Brianland,Fitness
19755,53,50593,09-07-2025,08:51:35,Morning,Impression,13,Facebook,Stories,Female,25-34,Sports,13,Campaign_13_Winter,19-04-2025,01-07-2025,21855.42,Male,30,Mexico,Brianland,Gaming
21455,94,ea34a,02-07-2025,09:17:17,Morning,Impression,14,Facebook,Video,Female,35-44,News,14,Campaign_14_Summer,15-04-2025,04-06-2025,39849.94,Female,32,United States,Williamsfurt,Health
23686,123,b11c1,24-06-2025,06:45:34,Morning,Impression,33,Facebook,Carousel,All,18-24,Finance,33,Campaign_33_Summer,08-04-2025,04-07-2025,59264.68,Female,27,United States,New Steven,Health
23686,123,b11c1,24-06-2025,06:45:34,Morning,Impression,33,Facebook,Carousel,All,18-24,Sports,33,Campaign_33_Summer,08-04-2025,04-07-2025,59264.68,Female,27,United States,New Steven,Health
27485,95,181f0,27-06-2025,07:31:10,Morning,Impression,36,Instagram,Image,All,25-34,Fashion,36,Campaign_36_Q3,07-03-2025,13-05-2025,58801.99,Male,19,United States,Barbaraport,Gaming
27485,95,181f0,27-06-2025,07:31:10,Morning,Impression,36,Instagram,Image,All,25-34,Fashion,36,Campaign_36_Q3,07-03-2025,13-05-2025,58801.99,Male,19,United States,Barbaraport,Technology
29186,87,fe768,27-06-2025,04:50:04,Night,Like,31,Instagram,Image,All,18-24,Health,31,Campaign_31_Summer,27-05-2025,22-07-2025,72208.34,Female,33,Australia,Banksview,News
29186,87,fe768,27-06-2025,04:50:04,Night,Like,31,Instagram,Image,All,18-24,Fashion,31,Campaign_31_Summer,27-05-2025,22-07-2025,72208.34,Female,33,Australia,Banksview,News
29186,87,fe768,27-06-2025,04:50:04,Night,Like,31,Instagram,Image,All,18-24,Health,31,Campaign_31_Summer,27-05-2025,22-07-2025,72208.34,Female,33,Australia,Banksview,Technology
29186,87,fe768,27-06-2025,04:50:04,Night,Like,31,Instagram,Image,All,18-24,Fashion,31,Campaign_31_Summer,27-05-2025,22-07-2025,72208.34,Female,33,Australia,Banksview,Technology
29186,87,fe768,27-06-2025,04:50:04,Night,Like,31,Instagram,Image,All,18-24,Health,31,Campaign_31_Summer,27-05-2025,22-07-2025,72208.34,Female,33,Australia,Banksview,Gaming
29186,87,fe768,27-06-2025,04:50:04,Night,Like,31,Instagram,Image,All,18-24,Fashion,31,Campaign_31_Summer,27-05-2025,22-07-2025,72208.34,Female,33,Australia,Banksview,Gaming
34358,22,2c7bb,08-06-2025,09:55:00,Morning,Impression,30,Facebook,Stories,Male,35-44,Finance,30,Campaign_30_Winter,25-02-2025,10-05-2025,73911.29,Male,32,India,Leeville,Fitness
40565,33,a1567,01-08-2025,02:54:04,Night,Impression,15,Instagram,Carousel,Female,All,Photography,15,Campaign_15_Launch,21-03-2025,11-06-2025,85407.23,Other,23,United States,West Ryanport,Fashion
43640,166,9a803,04-06-2025,15:54:55,Afternoon,Impression,14,Instagram,Image,All,All,Fashion,14,Campaign_14_Summer,15-04-2025,04-06-2025,39849.94,Male,20,United Kingdom,Lucasview,Sports
43640,166,9a803,04-06-2025,15:54:55,Afternoon,Impression,14,Instagram,Image,All,All,Fashion,14,Campaign_14_Summer,15-04-2025,04-06-2025,39849.94,Male,20,United Kingdom,Lucasview,Art
43640,166,9a803,04-06-2025,15:54:55,Afternoon,Impression,14,Instagram,Image,All,All,Fashion,14,Campaign_14_Summer,15-04-2025,04-06-2025,39849.94,Male,20,United Kingdom,Lucasview,Finance
47480,151,a6eeb,27-06-2025,15:39:19,Afternoon,Impression,34,Facebook,Carousel,All,35-44,Fashion,34,Campaign_34_Winter,10-07-2025,08-09-2025,26104.3,Female,39,United States,Gutierrezland,Fitness
48371,176,d209e,14-07-2025,23:29:34,Evening,Impression,13,Instagram,Video,All,25-34,Technology,13,Campaign_13_Winter,19-04-2025,01-07-2025,21855.42,Male,20,Canada,East Brett,Sports
48371,176,d209e,14-07-2025,23:29:34,Evening,Impression,13,Instagram,Video,All,25-34,Technology,13,Campaign_13_Winter,19-04-2025,01-07-2025,21855.42,Male,20,Canada,East Brett,Health
5265,114,a2121,03-08-2025,14:32:38,Afternoon,Impression,38,Facebook,Stories,Female,18-24,News,38,Campaign_38_Q3,21-04-2025,27-05-2025,71038.28,Male,32,United Kingdom,Ruizborough,Health
5265,114,a2121,03-08-2025,14:32:38,Afternoon,Impression,38,Facebook,Stories,Female,18-24,Health,38,Campaign_38_Q3,21-04-2025,27-05-2025,71038.28,Male,32,United Kingdom,Ruizborough,Health
5265,114,a2121,03-08-2025,14:32:38,Afternoon,Impression,38,Facebook,Stories,Female,18-24,News,38,Campaign_38_Q3,21-04-2025,27-05-2025,71038.28,Male,32,United Kingdom,Ruizborough,Food
5265,114,a2121,03-08-2025,14:32:38,Afternoon,Impression,38,Facebook,Stories,Female,18-24,Health,38,Campaign_38_Q3,21-04-2025,27-05-2025,71038.28,Male,32,United Kingdom,Ruizborough,Food
5555,184,747a4,15-06-2025,10:23:02,Morning,Impression,40,Instagram,Image,Male,25-34,Travel,40,Campaign_40_Summer,04-03-2025,20-04-2025,53936.41,Male,26,India,East Claudiafurt,Technology
7599,180,74406,04-06-2025,17:35:26,Afternoon,Impression,47,Instagram,Image,Male,18-24,Finance,47,Campaign_47_Launch,17-06-2025,03-09-2025,69493.36,Male,59,India,Romeroview,Fitness
7599,180,74406,04-06-2025,17:35:26,Afternoon,Impression,47,Instagram,Image,Male,18-24,Sports,47,Campaign_47_Launch,17-06-2025,03-09-2025,69493.36,Male,59,India,Romeroview,Fitness
7599,180,74406,04-06-2025,17:35:26,Afternoon,Impression,47,Instagram,Image,Male,18-24,Finance,47,Campaign_47_Launch,17-06-2025,03-09-2025,69493.36,Male,59,India,Romeroview,Lifestyle
7599,180,74406,04-06-2025,17:35:26,Afternoon,Impression,47,Instagram,Image,Male,18-24,Sports,47,Campaign_47_Launch,17-06-2025,03-09-2025,69493.36,Male,59,India,Romeroview,Lifestyle
29674,111,0429c,23-05-2025,00:07:51,Night,Impression,42,Facebook,Stories,Female,All,Lifestyle,42,Campaign_42_Summer,08-06-2025,25-07-2025,7918.04,Male,26,United States,East Natashabury,Sports
29674,111,0429c,23-05-2025,00:07:51,Night,Impression,42,Facebook,Stories,Female,All,Lifestyle,42,Campaign_42_Summer,08-06-2025,25-07-2025,7918.04,Male,26,United States,East Natashabury,Fitness
38523,186,4ff04,27-07-2025,16:45:00,Afternoon,Click,9,Facebook,Carousel,All,All,Fitness,9,Campaign_9_Launch,25-05-2025,13-07-2025,40094.07,Male,20,India,Brandiland,Fitness
39554,180,1875d,10-06-2025,22:52:20,Evening,Impression,47,Instagram,Image,Male,18-24,Finance,47,Campaign_47_Launch,17-06-2025,03-09-2025,69493.36,Other,31,Canada,Gregoryland,Food
39554,180,1875d,10-06-2025,22:52:20,Evening,Impression,47,Instagram,Image,Male,18-24,Sports,47,Campaign_47_Launch,17-06-2025,03-09-2025,69493.36,Other,31,Canada,Gregoryland,Food
39554,180,1875d,10-06-2025,22:52:20,Evening,Impression,47,Instagram,Image,Male,18-24,Finance,47,Campaign_47_Launch,17-06-2025,03-09-2025,69493.36,Other,31,Canada,Gregoryland,Fitness
39554,180,1875d,10-06-2025,22:52:20,Evening,Impression,47,Instagram,Image,Male,18-24,Sports,47,Campaign_47_Launch,17-06-2025,03-09-2025,69493.36,Other,31,Canada,Gregoryland,Fitness
46883,111,0429c,02-07-2025,06:58:59,Morning,Impression,42,Facebook,Stories,Female,All,Lifestyle,42,Campaign_42_Summer,08-06-2025,25-07-2025,7918.04,Male,26,United States,East Natashabury,Sports
46883,111,0429c,02-07-2025,06:58:59,Morning,Impression,42,Facebook,Stories,Female,All,Lifestyle,42,Campaign_42_Summer,08-06-2025,25-07-2025,7918.04,Male,26,United States,East Natashabury,Fitness
9497,196,d74af,17-07-2025,21:30:58,Evening,Impression,12,Facebook,Stories,Male,35-44,Gaming,12,Campaign_12_Q3,08-03-2025,01-06-2025,30525.65,Male,23,United States,Lake Chris,Fitness
9497,196,d74af,17-07-2025,21:30:58,Evening,Impression,12,Facebook,Stories,Male,35-44,Sports,12,Campaign_12_Q3,08-03-2025,01-06-2025,30525.65,Male,23,United States,Lake Chris,Fitness
10717,89,2123b,19-07-2025,00:38:59,Night,Impression,1,Facebook,Carousel,Female,25-34,Finance,1,Campaign_1_Launch,25-05-2025,23-07-2025,24021.32,Female,16,United States,Laurenville,Art
18354,19,c6667,03-07-2025,23:25:03,Evening,Impression,3,Facebook,Video,Female,18-24,Gaming,3,Campaign_3_Winter,04-05-2025,29-06-2025,14343.25,Other,31,Japan,Andersenmouth,News
18354,19,c6667,03-07-2025,23:25:03,Evening,Impression,3,Facebook,Video,Female,18-24,Gaming,3,Campaign_3_Winter,04-05-2025,29-06-2025,14343.25,Other,31,Japan,Andersenmouth,Food
21272,11,a6eeb,21-06-2025,04:57:14,Night,Impression,37,Facebook,Carousel,All,35-44,Fashion,37,Campaign_37_Launch,18-05-2025,01-08-2025,46445.2,Female,39,United States,Gutierrezland,Fitness
29387,177,7204f,21-05-2025,23:37:45,Evening,Impression,46,Instagram,Carousel,Female,35-44,Travel,46,Campaign_46_Winter,10-05-2025,07-08-2025,94023.76,Male,25,Germany,Garciatown,Finance
33710,92,027c7,30-07-2025,00:41:12,Night,Impression,4,Facebook,Carousel,Female,35-44,Gaming,4,Campaign_4_Summer,04-06-2025,08-08-2025,45326.6,Female,34,Canada,Lake Cheryl,Lifestyle
33710,92,027c7,30-07-2025,00:41:12,Night,Impression,4,Facebook,Carousel,Female,35-44,Gaming,4,Campaign_4_Summer,04-06-2025,08-08-2025,45326.6,Female,34,Canada,Lake Cheryl,Photography
39850,182,e7f8d,11-07-2025,21:56:05,Evening,Click,44,Instagram,Image,Female,35-44,Fashion,44,Campaign_44_Q3,14-07-2025,22-09-2025,15914.87,Male,23,Australia,Aaronberg,Fashion
39850,182,e7f8d,11-07-2025,21:56:05,Evening,Click,44,Instagram,Image,Female,35-44,News,44,Campaign_44_Q3,14-07-2025,22-09-2025,15914.87,Male,23,Australia,Aaronberg,Fashion
39850,182,e7f8d,11-07-2025,21:56:05,Evening,Click,44,Instagram,Image,Female,35-44,Fashion,44,Campaign_44_Q3,14-07-2025,22-09-2025,15914.87,Male,23,Australia,Aaronberg,Technology
39850,182,e7f8d,11-07-2025,21:56:05,Evening,Click,44,Instagram,Image,Female,35-44,News,44,Campaign_44_Q3,14-07-2025,22-09-2025,15914.87,Male,23,Australia,Aaronberg,Technology
42412,26,aa625,19-05-2025,07:55:22,Morning,Impression,42,Facebook,Image,Female,All,Gaming,42,Campaign_42_Summer,08-06-2025,25-07-2025,7918.04,Female,25,Brazil,Wongside,Art
42412,26,aa625,19-05-2025,07:55:22,Morning,Impression,42,Facebook,Image,Female,All,Health,42,Campaign_42_Summer,08-06-2025,25-07-2025,7918.04,Female,25,Brazil,Wongside,Art
42412,26,aa625,19-05-2025,07:55:22,Morning,Impression,42,Facebook,Image,Female,All,Gaming,42,Campaign_42_Summer,08-06-2025,25-07-2025,7918.04,Female,25,Brazil,Wongside,Photography
42412,26,aa625,19-05-2025,07:55:22,Morning,Impression,42,Facebook,Image,Female,All,Health,42,Campaign_42_Summer,08-06-2025,25-07-2025,7918.04,Female,25,Brazil,Wongside,Photography
42412,26,aa625,19-05-2025,07:55:22,Morning,Impression,42,Facebook,Image,Female,All,Gaming,42,Campaign_42_Summer,08-06-2025,25-07-2025,7918.04,Female,25,Brazil,Wongside,Health
42412,26,aa625,19-05-2025,07:55:22,Morning,Impression,42,Facebook,Image,Female,All,Health,42,Campaign_42_Summer,08-06-2025,25-07-2025,7918.04,Female,25,Brazil,Wongside,Health
45997,26,aa625,04-06-2025,15:18:47,Afternoon,Impression,42,Facebook,Image,Female,All,Gaming,42,Campaign_42_Summer,08-06-2025,25-07-2025,7918.04,Female,25,Brazil,Wongside,Art
45997,26,aa625,04-06-2025,15:18:47,Afternoon,Impression,42,Facebook,Image,Female,All,Health,42,Campaign_42_Summer,08-06-2025,25-07-2025,7918.04,Female,25,Brazil,Wongside,Art
45997,26,aa625,04-06-2025,15:18:47,Afternoon,Impression,42,Facebook,Image,Female,All,Gaming,42,Campaign_42_Summer,08-06-2025,25-07-2025,7918.04,Female,25,Brazil,Wongside,Photography
45997,26,aa625,04-06-2025,15:18:47,Afternoon,Impression,42,Facebook,Image,Female,All,Health,42,Campaign_42_Summer,08-06-2025,25-07-2025,7918.04,Female,25,Brazil,Wongside,Photography
45997,26,aa625,04-06-2025,15:18:47,Afternoon,Impression,42,Facebook,Image,Female,All,Gaming,42,Campaign_42_Summer,08-06-2025,25-07-2025,7918.04,Female,25,Brazil,Wongside,Health
45997,26,aa625,04-06-2025,15:18:47,Afternoon,Impression,42,Facebook,Image,Female,All,Health,42,Campaign_42_Summer,08-06-2025,25-07-2025,7918.04,Female,25,Brazil,Wongside,Health
4803,5,67650,12-07-2025,07:10:09,Morning,Impression,24,Instagram,Image,Female,25-34,News,24,Campaign_24_Summer,30-03-2025,23-05-2025,56692.87,Other,28,Canada,South Brianaport,Technology
5999,90,bf4c0,13-07-2025,06:02:46,Morning,Impression,18,Instagram,Stories,Male,35-44,Fitness,18,Campaign_18_Q3,19-04-2025,15-06-2025,48832.61,Male,36,Japan,Port Caitlinland,Gaming
5999,90,bf4c0,13-07-2025,06:02:46,Morning,Impression,18,Instagram,Stories,Male,35-44,Gaming,18,Campaign_18_Q3,19-04-2025,15-06-2025,48832.61,Male,36,Japan,Port Caitlinland,Gaming
5999,90,bf4c0,13-07-2025,06:02:46,Morning,Impression,18,Instagram,Stories,Male,35-44,Fitness,18,Campaign_18_Q3,19-04-2025,15-06-2025,48832.61,Male,36,Japan,Port Caitlinland,Lifestyle
5999,90,bf4c0,13-07-2025,06:02:46,Morning,Impression,18,Instagram,Stories,Male,35-44,Gaming,18,Campaign_18_Q3,19-04-2025,15-06-2025,48832.61,Male,36,Japan,Port Caitlinland,Lifestyle
5999,90,bf4c0,13-07-2025,06:02:46,Morning,Impression,18,Instagram,Stories,Male,35-44,Fitness,18,Campaign_18_Q3,19-04-2025,15-06-2025,48832.61,Male,36,Japan,Port Caitlinland,Fitness
5999,90,bf4c0,13-07-2025,06:02:46,Morning,Impression,18,Instagram,Stories,Male,35-44,Gaming,18,Campaign_18_Q3,19-04-2025,15-06-2025,48832.61,Male,36,Japan,Port Caitlinland,Fitness
7690,119,72304,11-05-2025,18:10:08,Evening,Impression,44,Instagram,Carousel,All,35-44,Health,44,Campaign_44_Q3,14-07-2025,22-09-2025,15914.87,Other,21,India,South Ryanmouth,Sports
7690,119,72304,11-05-2025,18:10:08,Evening,Impression,44,Instagram,Carousel,All,35-44,Health,44,Campaign_44_Q3,14-07-2025,22-09-2025,15914.87,Other,21,India,South Ryanmouth,Photography
7732,39,79803,27-05-2025,17:16:16,Afternoon,Click,34,Instagram,Stories,All,35-44,Lifestyle,34,Campaign_34_Winter,10-07-2025,08-09-2025,26104.3,Male,37,Canada,East Karen,Travel
7732,39,79803,27-05-2025,17:16:16,Afternoon,Click,34,Instagram,Stories,All,35-44,Gaming,34,Campaign_34_Winter,10-07-2025,08-09-2025,26104.3,Male,37,Canada,East Karen,Travel
13701,118,64661,21-05-2025,02:15:01,Night,Impression,8,Facebook,Stories,All,All,Health,8,Campaign_8_Q3,25-02-2025,07-04-2025,39953.19,Female,49,United States,North Gregory,Photography
13701,118,64661,21-05-2025,02:15:01,Night,Impression,8,Facebook,Stories,All,All,Sports,8,Campaign_8_Q3,25-02-2025,07-04-2025,39953.19,Female,49,United States,North Gregory,Photography
13701,118,64661,21-05-2025,02:15:01,Night,Impression,8,Facebook,Stories,All,All,Health,8,Campaign_8_Q3,25-02-2025,07-04-2025,39953.19,Female,49,United States,North Gregory,Technology
13701,118,64661,21-05-2025,02:15:01,Night,Impression,8,Facebook,Stories,All,All,Sports,8,Campaign_8_Q3,25-02-2025,07-04-2025,39953.19,Female,49,United States,North Gregory,Technology
13701,118,64661,21-05-2025,02:15:01,Night,Impression,8,Facebook,Stories,All,All,Health,8,Campaign_8_Q3,25-02-2025,07-04-2025,39953.19,Female,49,United States,North Gregory,Food
13701,118,64661,21-05-2025,02:15:01,Night,Impression,8,Facebook,Stories,All,All,Sports,8,Campaign_8_Q3,25-02-2025,07-04-2025,39953.19,Female,49,United States,North Gregory,Food
13949,39,3b938,04-07-2025,12:36:33,Afternoon,Impression,34,Instagram,Stories,All,35-44,Lifestyle,34,Campaign_34_Winter,10-07-2025,08-09-2025,26104.3,Female,45,Canada,Port Alec,Travel
13949,39,3b938,04-07-2025,12:36:33,Afternoon,Impression,34,Instagram,Stories,All,35-44,Gaming,34,Campaign_34_Winter,10-07-2025,08-09-2025,26104.3,Female,45,Canada,Port Alec,Travel
23340,96,81518,19-07-2025,17:07:24,Afternoon,Impression,24,Facebook,Stories,Male,35-44,News,24,Campaign_24_Summer,30-03-2025,23-05-2025,56692.87,Female,20,Germany,Stacymouth,Fitness
31251,39,79803,20-06-2025,06:16:33,Morning,Impression,34,Instagram,Stories,All,35-44,Lifestyle,34,Campaign_34_Winter,10-07-2025,08-09-2025,26104.3,Male,37,Canada,East Karen,Travel
31251,39,79803,20-06-2025,06:16:33,Morning,Impression,34,Instagram,Stories,All,35-44,Gaming,34,Campaign_34_Winter,10-07-2025,08-09-2025,26104.3,Male,37,Canada,East Karen,Travel
40102,76,b5057,13-06-2025,07:11:37,Morning,Impression,11,Facebook,Video,Female,18-24,Technology,11,Campaign_11_Q3,24-04-2025,02-07-2025,79067.91,Female,29,Brazil,Charlesshire,Photography
40102,76,b5057,13-06-2025,07:11:37,Morning,Impression,11,Facebook,Video,Female,18-24,News,11,Campaign_11_Q3,24-04-2025,02-07-2025,79067.91,Female,29,Brazil,Charlesshire,Photography
40102,76,b5057,13-06-2025,07:11:37,Morning,Impression,11,Facebook,Video,Female,18-24,Technology,11,Campaign_11_Q3,24-04-2025,02-07-2025,79067.91,Female,29,Brazil,Charlesshire,Fitness
40102,76,b5057,13-06-2025,07:11:37,Morning,Impression,11,Facebook,Video,Female,18-24,News,11,Campaign_11_Q3,24-04-2025,02-07-2025,79067.91,Female,29,Brazil,Charlesshire,Fitness
40102,76,b5057,13-06-2025,07:11:37,Morning,Impression,11,Facebook,Video,Female,18-24,Technology,11,Campaign_11_Q3,24-04-2025,02-07-2025,79067.91,Female,29,Brazil,Charlesshire,Travel
40102,76,b5057,13-06-2025,07:11:37,Morning,Impression,11,Facebook,Video,Female,18-24,News,11,Campaign_11_Q3,24-04-2025,02-07-2025,79067.91,Female,29,Brazil,Charlesshire,Travel
49841,90,181f0,20-05-2025,02:00:18,Night,Impression,18,Instagram,Stories,Male,35-44,Fitness,18,Campaign_18_Q3,19-04-2025,15-06-2025,48832.61,Male,19,United States,Barbaraport,Gaming
49841,90,181f0,20-05-2025,02:00:18,Night,Impression,18,Instagram,Stories,Male,35-44,Gaming,18,Campaign_18_Q3,19-04-2025,15-06-2025,48832.61,Male,19,United States,Barbaraport,Gaming
49841,90,181f0,20-05-2025,02:00:18,Night,Impression,18,Instagram,Stories,Male,35-44,Fitness,18,Campaign_18_Q3,19-04-2025,15-06-2025,48832.61,Male,19,United States,Barbaraport,Technology
49841,90,181f0,20-05-2025,02:00:18,Night,Impression,18,Instagram,Stories,Male,35-44,Gaming,18,Campaign_18_Q3,19-04-2025,15-06-2025,48832.61,Male,19,United States,Barbaraport,Technology
1112,16,98269,29-05-2025,02:06:13,Night,Impression,18,Facebook,Video,Female,35-44,Food,18,Campaign_18_Q3,19-04-2025,15-06-2025,48832.61,Male,21,India,Hayesberg,News
1112,16,98269,29-05-2025,02:06:13,Night,Impression,18,Facebook,Video,Female,35-44,Gaming,18,Campaign_18_Q3,19-04-2025,15-06-2025,48832.61,Male,21,India,Hayesberg,News
1112,16,98269,29-05-2025,02:06:13,Night,Impression,18,Facebook,Video,Female,35-44,Food,18,Campaign_18_Q3,19-04-2025,15-06-2025,48832.61,Male,21,India,Hayesberg,Sports
1112,16,98269,29-05-2025,02:06:13,Night,Impression,18,Facebook,Video,Female,35-44,Gaming,18,Campaign_18_Q3,19-04-2025,15-06-2025,48832.61,Male,21,India,Hayesberg,Sports
3477,149,4d21a,02-07-2025,14:37:24,Afternoon,Impression,11,Facebook,Stories,All,18-24,Health,11,Campaign_11_Q3,24-04-2025,02-07-2025,79067.91,Female,48,Mexico,Port Hollyside,Art
3477,149,4d21a,02-07-2025,14:37:24,Afternoon,Impression,11,Facebook,Stories,All,18-24,Fitness,11,Campaign_11_Q3,24-04-2025,02-07-2025,79067.91,Female,48,Mexico,Port Hollyside,Art
5533,50,03a52,01-06-2025,12:18:35,Afternoon,Impression,5,Instagram,Stories,Female,35-44,News,5,Campaign_5_Launch,11-07-2025,28-08-2025,68376.69,Male,26,United States,Jensenside,Art
13520,125,48790,07-06-2025,01:56:41,Night,Click,32,Instagram,Carousel,Female,18-24,Photography,32,Campaign_32_Summer,02-05-2025,14-06-2025,81744.53,Male,17,France,Suarezchester,Travel
13520,125,48790,07-06-2025,01:56:41,Night,Click,32,Instagram,Carousel,Female,18-24,Photography,32,Campaign_32_Summer,02-05-2025,14-06-2025,81744.53,Male,17,France,Suarezchester,Sports
15695,190,5c67c,26-06-2025,07:09:36,Morning,Impression,33,Facebook,Image,Male,18-24,Photography,33,Campaign_33_Summer,08-04-2025,04-07-2025,59264.68,Male,33,Australia,Port John,Photography
